Time (UTC),Event,Scroll Position,Scroll Percentage,Mouse X,Mouse Y,URL,Image_Path
2023-07-23T14:37:23.270Z,scroll,164.0,15.40785498489426,668.0,219.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.287Z,scroll,180.0,15.730110775427995,668.0,219.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.303Z,scroll,192.0,15.9718026183283,668.0,219.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.320Z,scroll,201.3333282470703,16.159785060363955,668.0,219.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.336Z,scroll,212.6666717529297,16.388049783543398,668.0,219.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.354Z,scroll,225.3333282470703,16.64316874616456,668.0,219.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.370Z,scroll,238.6666717529297,16.91171544316072,668.0,219.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.386Z,scroll,252.6666717529297,17.193689259877736,668.0,219.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.403Z,scroll,266.6666564941406,17.475662769267686,668.0,219.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.419Z,scroll,278.0,17.70392749244713,668.0,219.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.436Z,scroll,287.3333435058594,17.891910241809857,668.0,219.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.453Z,scroll,294.0,18.026183282980863,668.0,219.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.470Z,scroll,298.6666564941406,18.12017435033516,668.0,219.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.486Z,scroll,300.0,18.147029204431018,668.0,219.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.502Z,mousemove,300.0,18.147029204431018,530.0,262.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.519Z,mousemove,300.0,18.147029204431018,485.0,262.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.536Z,mousemove,300.0,18.147029204431018,431.0,267.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.552Z,mousemove,300.0,18.147029204431018,367.0,272.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.569Z,mousemove,300.0,18.147029204431018,302.0,279.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.586Z,mousemove,300.0,18.147029204431018,238.0,285.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.602Z,mousemove,300.0,18.147029204431018,194.0,292.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.619Z,mousemove,300.0,18.147029204431018,165.0,298.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.636Z,mousemove,300.0,18.147029204431018,142.0,301.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.652Z,mousemove,300.0,18.147029204431018,127.0,304.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.669Z,mousemove,300.0,18.147029204431018,122.0,306.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.686Z,mousemove,300.0,18.147029204431018,120.0,307.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.736Z,mousemove,300.0,18.147029204431018,124.0,318.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.752Z,mousemove,300.0,18.147029204431018,130.0,331.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.769Z,mousemove,300.0,18.147029204431018,139.0,347.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.786Z,mousemove,300.0,18.147029204431018,155.0,357.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.803Z,mousemove,300.0,18.147029204431018,176.0,359.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.819Z,mousemove,300.0,18.147029204431018,190.0,359.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.836Z,mousemove,300.0,18.147029204431018,198.0,355.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.852Z,mousemove,300.0,18.147029204431018,203.0,351.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.869Z,mousemove,300.0,18.147029204431018,205.0,345.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.886Z,mousemove,300.0,18.147029204431018,207.0,338.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.902Z,mousemove,300.0,18.147029204431018,207.0,335.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.919Z,mousemove,300.0,18.147029204431018,204.0,333.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.936Z,mousemove,300.0,18.147029204431018,200.0,331.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.952Z,mousemove,300.0,18.147029204431018,194.0,329.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.969Z,mousemove,300.0,18.147029204431018,189.0,329.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:23.986Z,mousemove,300.0,18.147029204431018,186.0,329.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.002Z,mousemove,300.0,18.147029204431018,184.0,329.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.019Z,mousemove,300.0,18.147029204431018,183.0,330.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.036Z,mousemove,300.0,18.147029204431018,184.0,337.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.052Z,mousemove,300.0,18.147029204431018,198.0,344.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.069Z,mousemove,300.0,18.147029204431018,224.0,347.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.086Z,mousemove,300.0,18.147029204431018,327.0,346.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.103Z,mousemove,300.0,18.147029204431018,408.0,335.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.119Z,mousemove,300.0,18.147029204431018,460.0,318.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.136Z,mousemove,300.0,18.147029204431018,482.0,306.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.152Z,mousemove,300.0,18.147029204431018,489.0,297.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.169Z,mousemove,300.0,18.147029204431018,491.0,295.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.186Z,mousemove,300.0,18.147029204431018,491.0,294.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.202Z,mousemove,300.0,18.147029204431018,489.0,293.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.219Z,mousemove,300.0,18.147029204431018,482.0,294.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.236Z,mousemove,300.0,18.147029204431018,472.0,297.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.252Z,mousemove,300.0,18.147029204431018,465.0,299.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.269Z,mousemove,300.0,18.147029204431018,462.0,300.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.286Z,mousemove,300.0,18.147029204431018,466.0,311.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.302Z,mousemove,300.0,18.147029204431018,480.0,328.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.319Z,mousemove,300.0,18.147029204431018,510.0,349.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.336Z,mousemove,300.0,18.147029204431018,578.0,366.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.352Z,mousemove,300.0,18.147029204431018,663.0,373.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.369Z,mousemove,300.0,18.147029204431018,734.0,373.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.386Z,mousemove,300.0,18.147029204431018,778.0,373.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.402Z,mousemove,300.0,18.147029204431018,799.0,373.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.419Z,mousemove,300.0,18.147029204431018,809.0,371.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.436Z,mousemove,300.0,18.147029204431018,812.0,370.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.452Z,mousemove,300.0,18.147029204431018,813.0,370.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.556Z,scroll,301.3333435058594,18.17388405852688,813.0,370.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.569Z,scroll,306.0,18.26787512588117,813.0,370.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.586Z,scroll,314.0,18.429003021148034,813.0,370.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.603Z,scroll,325.3333435058594,18.65726774432748,813.0,370.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.619Z,scroll,339.3333435058594,18.939241561044497,813.0,370.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.636Z,scroll,354.0,19.234642497482376,813.0,370.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
2023-07-23T14:37:24.653Z,scroll,368.6666564941406,19.53004343392025,813.0,370.0,https://www.essex.ac.uk/,web_pages/www.essex.ac.uk_/webpage_screenshot.png
